OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude,Location,Region,Coordinates
66,Barnes Air National Guard Base,,act,xlsx,,42.16555555555556,-72.72055555555556,Westfield,Massachusetts,42°09′56″N 072°43′14″W
67,Battle Creek Air National Guard Base,,act,xlsx,,42.30722222222222,-3.420833333333334,Springfield,Michigan,42°18′26.2″N 85°15′05.3″W
68,Berry Field Air National Guard Base,,act,xlsx,,36.126666666666665,-86.68194444444445,Nashville,Tennessee,36°07′36″N 86°40′55″W
69,Biddle Air National Guard Base,,act,xlsx,,40.19972222222222,-75.14805555555556,Horsham Township,Pennsylvania,40°11′59″N 075°08′53″W
70,Bradley Air National Guard Base,,act,xlsx,,41.93888888888888,-72.68333333333334,Windsor Locks,Connecticut,41°56′20″N 72°41′0″W
71,Brunswick Air National Guard Station,,act,xlsx,,31.247500000000002,-10.358055555555556,Dock Junction,Georgia,31°14′51.9″N 81°29′09″W
72,Burlington Air National Guard Base,,act,xlsx,,44.47277777777778,-73.14666666666668,Burlington,Vermont,44°28′22″N 073°08′48″W
73,Camp Murray Air National Guard Station,,act,xlsx,,47.11805555555556,-122.56,Tacoma,Washington,47°7′5″N 122°33′36″W
74,Camp Rilea,,act,xlsx,,46.12916666666667,-123.94388888888889,Warrenton,Oregon,46°7′45″N 123°56′38″W
75,Capital Airport Air National Guard Station,,act,xlsx,,39.844166666666666,-89.67805555555556,Springfield,Illinois,39°50′39″N 089°40′41″W
76,Channel Islands Air National Guard Station,,act,xlsx,,34.115,-119.11027777777777,Oxnard,California,34°06′54″N 119°06′37″W
77,Charlotte Air National Guard Base,,act,xlsx,,35.21611111111111,-80.93194444444445,Charlotte,North Carolina,35°12′58″N 80°55′55″W
78,Dallas Air Guard Station,,act,xlsx,,32.74,-96.97,Grand Prairie,Texas,32°44′24″N 096°58′12″W
79,Des Moines Air National Guard Base,,act,xlsx,,41.538333333333334,-93.65944444444445,Des Moines,Iowa,41°32′18″N 093°39′34″W
80,Dobbins Air Reserve Base,,act,xlsx,,33.915277777777774,-84.51638888888888,Marietta,Georgia,33°54′55″N 084°30′59″W
81,Duke Field,,act,xlsx,,30.650277777777777,-86.52277777777778,Crestview,Florida,30°39′01″N 086°31′22″W
82,Duluth Air National Guard Base,,act,xlsx,,46.842222222222226,-92.19361111111111,Duluth,Minnesota,46°50′32″N 92°11′37″W
83,Eastern Air Defense Sector,,act,xlsx,,43.21638888888889,-9.256666666666666,Rome,New York,43°12′59.8″N 75°24′17.4″W
84,Ebbing Air National Guard Base,,act,xlsx,,35.336666666666666,-94.36749999999999,Fort Smith,Arkansas,35°20′12″N 94°22′03″W
85,Ellington Field Joint Reserve Base,,act,xlsx,,29.607222222222223,-95.1588888888889,Houston,Texas,29°36′26″N 95°09′32″W
86,Fargo Air National Guard Base,,act,xlsx,,46.92055555555555,-96.81583333333333,Fargo,North Dakota,46°55′14″N 096°48′57″W
87,Forbes Field Air National Guard Base,,act,xlsx,,38.95111111111111,-95.66583333333334,Topeka,Kansas,38°57′04″N 095°39′57″W
88,Fort Bliss,,act,xlsx,,31.801944444444445,-106.42472222222223,El Paso,Texas,31°48′7″N 106°25′29″W
89,Fort Dodge Air National Guard Station,,act,xlsx,,42.550555555555555,-6.569444444444445,Fort Dodge,Iowa,42°33′02.5″N 94°10′45.3″W
90,Fort Wayne Air National Guard Base,,act,xlsx,,40.97833333333333,-85.19500000000001,Fort Wayne,Indiana,40°58′42″N 085°11′42″W
91,Naval Air Station Joint Reserve Base Fort Worth,,act,xlsx,,32.76916666666666,-97.44166666666668,Fort Worth,Texas,32°46′09″N 097°26′30″W
92,Francis S. Gabreski Air National Guard Base,,act,xlsx,,40.83694444444445,-72.64222222222223,Westhampton Beach,New York,40°50′13″N 072°38′32″W
93,Fresno Air National Guard Base,,act,xlsx,,36.77611111111111,-119.73055555555555,Fresno,California,36°46′34″N 119°43′50″W
94,General Mitchell Air National Guard Base,,act,xlsx,,42.947222222222216,-87.89666666666668,Milwaukee,Wisconsin,42°56′50″N 087°53′48″W
95,Gowen Field Air National Guard Base,,act,xlsx,,43.56444444444444,-116.22277777777778,Boise,Idaho,43°33′52″N 116°13′22″W
96,Great Falls Air National Guard Base,,act,xlsx,,47.481944444444444,-21.85611111111111,Great Falls,Montana,47°28′55.20″N 111°22′14.46″W
97,Greeley Air National Guard Station,,act,xlsx,,40.42361111111111,-9.74388888888889,Greeley,Colorado,40°25′25.8″N 104°38′24.6″W
98,Grissom Air Reserve Base,,act,xlsx,,40.64805555555556,-86.15222222222222,Kokomo,Indiana,40°38′53″N 086°09′08″W
99,Goldwater Air National Guard Base,,act,xlsx,,33.42666666666666,-112.01194444444444,Phoenix,Arizona,33°25′36″N 112°00′43″W
100,Gulfport Combat Readiness Training Center,,act,xlsx,,30.40722222222222,-89.07,Gulfport,Mississippi,30°24′26″N 089°04′12″W
101,Hall Air Guard Station,,act,xlsx,,31.329444444444444,-8.424166666666666,Dothan,Alabama,31°19′46.7″N 85°27′57.2″W
102,Hancock Field Air National Guard Base,,act,xlsx,,43.11138888888889,-76.1236111111111,Syracuse,New York,43°06′41″N 076°07′25″W
103,Harrisburg Air Station Middletown,,act,xlsx,,40.19361111111111,-76.76333333333334,Middletown,Pennsylvania,40°11′37″N 076°45′48″W
104,Homestead Air Reserve Base,,act,xlsx,,25.488333333333333,-80.38361111111112,Homestead,Florida,25°29′18″N 080°23′01″W
105,Hulman Field Air National Guard Base,,act,xlsx,,39.45138888888889,-87.30749999999999,Terre Haute,Indiana,39°27′05″N 087°18′27″W
106,Jackson Air National Guard Base,,act,xlsx,,32.31111111111111,-90.07583333333334,Jackson,Mississippi,32°18′40″N 090°04′33″W
107,Jacksonville Air National Guard Base,,act,xlsx,,30.49416666666667,-81.68777777777778,"Jacksonville, Florida",Florida,30°29′39″N 081°41′16″W
108,Jefferson Barracks Air National Guard Station,,act,xlsx,,38.50388888888889,-4.504444444444444,St Louis,Missouri,38°30′14.3″N 90°16′48.9″W
109,Joe Foss Field Air National Guard Station,,act,xlsx,,43.581944444444446,-96.74194444444444,Sioux Falls,South Dakota,43°34′55″N 096°44′31″W
110,Johnstown Air National Guard Station,,act,xlsx,,40.323055555555555,-6.313888888888889,Johnstown,Pennsylvania,40°19′23.5″N 78°50′15.7″W
111,Key Field Air National Guard Base,,act,xlsx,,32.3325,-88.75194444444445,Meridian,Mississippi,32°19′57″N 088°45′07″W
112,Kingsley Field Air National Guard Base,,act,xlsx,,42.15611111111111,-121.73305555555555,Klamath Falls,Oregon,42°09′22″N 121°43′59″W
113,Lincoln Air National Guard Base,,act,xlsx,,40.85111111111111,-96.75916666666667,Lincoln,Nebraska,40°51′04″N 096°45′33″W
114,Louisville Air National Guard Base,,act,xlsx,,38.17805555555555,-85.72472222222223,Louisville,Kentucky,38°10′41″N 85°43′29″W
115,Mansfield Lahm Air National Guard Base,,act,xlsx,,40.81361111111111,-82.51666666666667,Mansfield,Ohio,40°48′49″N 82°31′00″W
116,March Joint Air Reserve Base,,act,xlsx,,33.88055555555555,-117.25944444444444,Riverside,California,33°52′50″N 117°15′34″W
117,McEntire Joint National Guard Base,,act,xlsx,,33.920833333333334,-80.80111111111111,Eastover,South Carolina,33°55′15″N 080°48′04″W
118,McGhee Tyson Air National Guard Base,,act,xlsx,,35.81083333333333,-83.99388888888889,Knoxville,Tennessee,35°48′39″N 083°59′38″W
119,McLaughlin Air National Guard Base,,act,xlsx,,38.37305555555555,-81.59305555555555,Charleston,West Virginia,38°22′23″N 81°35′35″W
120,Memphis Air National Guard Base,,act,xlsx,,35.0425,-89.97666666666667,Memphis,Tennessee,35°02′33″N 089°58′36″W
121,Minneapolis-Saint Paul Joint Air Reserve Station,,act,xlsx,,44.88166666666667,-93.23361111111112,Minneapolis – Saint Paul,Minnesota,44°52′54″N 093°14′01″W
122,Moffett Federal Airfield,,act,xlsx,,37.415,-122.04833333333333,Mountain View,California,37°24′54″N 122°02′54″W
123,Montgomery Air National Guard Base,,act,xlsx,,32.30444444444444,-86.40027777777779,Montgomery,Alabama,32°18′16″N 086°24′01″W
124,Morris Air National Guard Base,,act,xlsx,,32.11527777777778,-110.93055555555556,Tucson,Arizona,32°06′55″N 110°55′50″W
125,New Castle Air National Guard Base,,act,xlsx,,39.68527777777778,-75.59916666666666,New Castle,Delaware,39°41′07″N 075°35′57″W
126,New London Air National Guard Base,,act,xlsx,,35.41833333333333,-10.335555555555556,New London,North Carolina,35°25′06.9″N 80°08′30″W
127,Naval Air Station Joint Reserve Base New Orleans,,act,xlsx,,29.825277777777778,-90.035,Belle Chasse,Louisiana,29°49′31″N 090°02′06″W
128,Niagara Falls Air Reserve Station,,act,xlsx,,43.11333333333334,-78.9475,Niagara Falls,New York,43°06′48″N 078°56′51″W
129,North Highlands Air National Guard Station,,act,xlsx,,38.64,-121.4025,"Sacramento, California",California,38°38′24″N 121°24′09″W
130,North Smithfield Air National Guard Station,,act,xlsx,,41.97027777777778,-71.57555555555555,North Smithfield,Rhode Island,41°58′13″N 71°34′32.4″W
131,Otis Air National Guard Base,,act,xlsx,,41.65861111111111,-70.5213888888889,Mashpee,Massachusetts,41°39′31″N 070°31′17″W
132,Pease Air National Guard Base,,act,xlsx,,43.07805555555556,-70.82333333333332,Portsmouth,New Hampshire,43°04′41″N 070°49′24″W
133,Peoria Air National Guard Base,,act,xlsx,,40.660555555555554,-89.69555555555556,Peoria,Illinois,40°39′38″N 089°41′44″W
134,Peterson Space Force Base,,act,xlsx,,38.82361111111111,-104.69500000000001,Colorado Springs,Colorado,38°49′25″N 104°41′42″W
135,Pittsburgh International Airport Air Reserve Station,,act,xlsx,,40.49444444444445,-50.336666666666666,Pittsburgh,Pennsylvania,40°29′40.49″N 080°12′55.71″W
136,Portland Air National Guard Base,,act,xlsx,,45.58222222222223,-122.58972222222222,Portland,Oregon,45°34′56″N 122°35′23″W
137,Quonset Point Air National Guard Station,,act,xlsx,,41.59722222222222,-71.41222222222223,North Kingstown,Rhode Island,41°35′50″N 071°24′44″W
138,Reno Air National Guard Base,,act,xlsx,,39.49916666666667,-119.76805555555555,Reno,Nevada,39°29′57″N 119°46′05″W
139,Rickenbacker Air National Guard Base,,act,xlsx,,39.81361111111111,-82.94666666666667,Columbus,Ohio,39°48′49″N 082°56′48″W
140,Roland R. Wright Air National Guard Base,,act,xlsx,,40.788333333333334,-111.97777777777777,Salt Lake City,Utah,40°47′18″N 111°58′40″W
141,Rosecrans Air National Guard Base,,act,xlsx,,39.77194444444444,-94.90944444444445,St. Joseph,Missouri,39°46′19″N 94°54′34.94″W
142,San Diego Air National Guard Station,,act,xlsx,,32.836111111111116,-117.16055555555556,San Diego,California,32°50′10″N 117°9′38″W
143,Savannah Air National Guard Base,,act,xlsx,,32.1275,-81.20194444444445,Savannah,Georgia,32°07′39″N 081°12′7″W
144,Schriever Space Force Base,,act,xlsx,,38.80333333333333,-104.52555555555556,Colorado Springs,Colorado,38°48′12″N 104°31′32″W
145,Selfridge Air National Guard Base,,act,xlsx,,42.608333333333334,-82.83555555555554,Mount Clemens,Michigan,42°36′30″N 082°50′08″W
146,Sepulveda Air National Guard Station,,act,xlsx,,34.18583333333333,-5.974444444444445,Van Nuys,California,34°11′09.4″N 118°28′48″W
147,Shepherd Field Air National Guard Base,,act,xlsx,,39.401944444444446,-77.98444444444445,Martinsburg,West Virginia,39°24′07″N 77°59′04″W
148,Sioux City Air National Guard Base,,act,xlsx,,42.39833333333333,-96.37194444444444,Sioux City,Iowa,42°23′54″N 096°22′19″W
149,South Portland Air National Guard Station,,act,xlsx,,43.63333333333333,-10.171666666666667,South Portland,Maine,43°38′00.9″N 70°18′58.7″W
150,Springfield Air National Guard Base,,act,xlsx,,39.84027777777778,-83.84027777777777,Springfield,Ohio,39°50′25″N 083°50′25″W
151,Stewart Air National Guard Base,,act,xlsx,,41.50416666666667,-74.10472222222222,Newburgh,New York,41°30′15″N 74°06′17″W
152,Stratton Air National Guard Base,,act,xlsx,,42.8525,-73.9225,Schenectady,New York,42°51′09″N 073°55′21″W
