OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
49,Rome Research Site,,43.22111111111112,-10.256666666666666,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,56.1,90,54.0,1,0.0,0.0,0.0,0.0,0,0,1016.9,1016.9,11.9,14,17.6
50,Joint Base San Antonio,,29.448888888888888,-98.44888888888887,act,xlsx,,America/Chicago,2026-03-03T10:00,72.9,65,72.2,1,0.0,0.0,0.0,0.0,3,100,1016.0,989.7,16.2,180,26.6
51,Scott Air Force Base,,38.54527777777778,-89.83527777777778,act,xlsx,,America/Chicago,2026-03-03T10:00,42.7,95,39.9,1,0.0,0.0,0.0,0.0,3,100,1019.1,1003.0,2.3,129,14.0
52,Seymour Johnson Air Force Base,,35.339444444444446,-77.96055555555556,act,xlsx,,America/New_York,2026-03-03T11:00,45.3,92,41.1,1,0.0,0.0,0.0,0.0,3,100,1031.1,1028.2,9.3,36,13.0
53,Shaw Air Force Base,,33.973055555555554,-80.47277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,51.5,81,47.3,1,0.0,0.0,0.0,0.0,3,100,1030.1,1021.2,11.9,25,15.1
54,Sheppard Air Force Base,,33.98888888888889,-98.49194444444444,act,xlsx,,America/Chicago,2026-03-03T10:00,70.0,70,65.8,1,0.0,0.0,0.0,0.0,0,6,1011.6,976.9,28.3,198,48.2
55,Tinker Air Force Base,,35.414722222222224,-97.38666666666668,act,xlsx,,America/Chicago,2026-03-03T10:00,69.0,64,61.4,1,0.0,0.0,0.0,0.0,0,4,1010.5,966.5,37.0,193,61.2
56,Tonopah Test Range Airport,,37.79472222222222,-116.7786111111111,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,39.7,52,31.3,1,0.0,0.0,0.0,0.0,0,0,1020.1,832.7,13.2,334,18.0
57,Travis Air Force Base,,38.26277777777778,-121.9275,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,49.6,96,48.1,1,0.0,0.0,0.0,0.0,0,17,1020.2,1018.5,4.4,235,15.1
58,Tyndall Air Force Base,,30.078611111111112,-85.57638888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,70.4,75,71.6,1,0.0,0.0,0.0,0.0,1,21,1024.5,1023.7,15.4,106,24.8
59,United States Air Force Academy,,38.99027777777778,-104.85833333333332,act,xlsx,,America/Denver,2026-03-03T09:00,44.6,68,34.0,1,0.0,0.0,0.0,0.0,0,6,1014.0,795.8,27.4,357,34.2
