OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
23,Hanscom Air Force Base,,42.47,-71.28916666666666,act,xlsx,,America/New_York,2026-03-03T11:00,29.7,56,21.5,1,0.0,0.0,0.0,0.0,3,100,1035.4,1030.3,9.5,209,23.8,45.357142857142854,31.314285714285713,37.81428571428571,40.628571428571426,24.985714285714288,4.788571428571428,4.231428571428571,0.33999999999999997,14.657142857142858,47.18571428571429,19057.53142857143,2.8857142857142857,9.797142857142857,7.285714285714286,1.1685714285714286,1
24,Hill Air Force Base,,41.12388888888889,-111.97277777777778,act,xlsx,,America/Denver,2026-03-03T09:00,40.0,91,35.7,1,0.0,0.0,0.0,0.0,3,87,1022.5,857.0,5.4,262,6.5,48.17142857142857,34.471428571428575,40.614285714285714,42.771428571428565,26.985714285714288,1.7742857142857142,0.7714285714285714,0.5328571428571428,17.3,27.057142857142857,35475.09857142857,4.464285714285714,15.435714285714285,5.0,2.0885714285714285,1
25,Homey Airport,,37.23333333333333,-115.80833333333334,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,42.7,68,37.0,1,0.0,0.0,0.0,0.0,0,0,1018.9,865.2,7.7,332,18.0,59.142857142857146,39.871428571428574,49.028571428571425,48.857142857142854,29.942857142857143,0.014285714285714287,0.0,0.0,30.37142857142857,40.31428571428571,37377.07714285714,5.8428571428571425,19.925714285714285,0.14285714285714285,4.082857142857143,0
26,Holloman Air Force Base,,32.8525,-106.10638888888889,act,xlsx,,America/Denver,2026-03-03T09:00,62.4,19,55.6,1,0.0,0.0,0.0,0.0,0,0,1011.3,875.6,5.4,176,7.2,72.94285714285715,50.199999999999996,61.68571428571429,66.27142857142857,42.98571428571428,0.0,0.0,0.0,20.214285714285715,25.557142857142857,38359.32857142857,6.807142857142857,21.004285714285714,0.0,5.298571428571429,0
27,Hurlburt Field,,30.42777777777778,-86.68944444444445,act,xlsx,,America/Chicago,2026-03-03T10:00,67.0,84,66.1,1,0.0,0.0,0.0,0.0,1,41,1024.3,1023.3,19.5,118,33.5,75.05714285714285,61.857142857142854,67.72857142857143,78.27142857142857,63.18571428571429,0.05714285714285715,0.0,0.0,16.1,28.12857142857143,36471.21142857143,6.614285714285714,19.52285714285714,0.2857142857142857,3.314285714285714,2
28,Keesler Air Force Base,,30.411388888888887,-88.92361111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,67.2,93,67.9,1,0.0,0.0,0.0,0.0,3,100,1023.1,1022.6,18.5,114,34.2,75.71428571428571,64.74285714285715,69.55714285714285,78.78571428571429,67.21428571428571,0.014285714285714287,0.0,0.0,16.742857142857144,30.385714285714283,35497.60142857143,6.464285714285714,19.06857142857143,0.14285714285714285,3.3085714285714287,2
29,Kegelman Air Force Auxiliary Field,,36.73805555555556,-98.1261111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,54.0,81,51.2,1,0.0,0.0,0.0,0.0,3,100,1010.5,967.2,8.8,261,14.4,68.58571428571429,47.92857142857143,57.714285714285715,63.82857142857143,41.385714285714286,0.8285714285714285,0.05714285714285715,0.0,28.414285714285715,53.385714285714286,28506.079999999998,5.135714285714286,13.694285714285714,2.142857142857143,3.1514285714285717,0
30,Kirtland Air Force Base,,35.040277777777774,-106.60916666666668,act,xlsx,,America/Denver,2026-03-03T09:00,56.5,22,50.2,1,0.0,0.0,0.0,0.0,0,0,1013.7,838.9,3.1,339,13.7,65.45714285714286,44.51428571428572,54.971428571428575,56.471428571428575,35.68571428571429,0.0,0.0,0.0,25.071428571428573,39.81428571428571,38367.34142857143,6.4071428571428575,20.967142857142857,0.0,4.808571428571429,0
31,Joint Base Langley–Eustis,,37.08277777777778,-76.36055555555555,act,xlsx,,America/New_York,2026-03-03T11:00,44.3,95,42.1,1,0.0,0.0,0.0,0.0,3,100,1030.6,1030.3,1.8,53,5.4,69.78571428571429,50.614285714285714,59.771428571428565,67.84285714285714,47.34285714285714,0.34285714285714286,0.07142857142857142,0.0,20.842857142857145,43.51428571428572,28193.757142857143,5.271428571428571,13.724285714285715,1.1428571428571428,2.6342857142857143,1
32,Laughlin Air Force Base,,29.35944444444445,-100.77805555555555,act,xlsx,,America/Chicago,2026-03-03T10:00,66.9,85,65.1,1,0.0,0.0,0.0,0.0,3,100,1013.6,975.6,23.5,130,33.8,83.41428571428571,65.95714285714287,73.15714285714286,82.52857142857144,65.27142857142857,1.6114285714285717,0.08285714285714287,0.0,30.857142857142858,53.58571428571429,22278.352857142858,5.078571428571428,11.37857142857143,3.142857142857143,3.6214285714285714,2
