base_name,date,cluster_id,latitude,longitude,daily_weather_code,daily_temperature_2m_max,daily_temperature_2m_min,daily_temperature_2m_mean,daily_apparent_temperature_max,daily_apparent_temperature_min,daily_apparent_temperature_mean,daily_daylight_duration,daily_sunshine_duration,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_precipitation_hours,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,daily_wind_direction_10m_dominant,daily_shortwave_radiation_sum,daily_et0_fao_evapotranspiration,daily_relative_humidity_2m_max,daily_relative_humidity_2m_min,daily_surface_pressure_max,daily_surface_pressure_min,daily_cloud_cover_mean,daily_wind_speed_10m_mean,daily_wind_gusts_10m_mean
Hill Air Force Base,2025-03-28,1,41.12388888888889,-111.97277777777778,3.0,65.3866958618164,40.05561828613281,53.7908935546875,59.197486877441406,33.49947738647461,47.00660705566406,44849.2578125,38261.11328125,0.0,0.0,0.016708350626014702,0.07539032399654388,20.084928512573242,40.93028259277344,284.67191362605655,21.320959091186523,4.4287428855896,76.41024017333984,30.61908721923828,877.3931884765625,866.7286376953125,41.2752685546875,11.984869003295898,26.592025756835938
Hill Air Force Base,2025-03-29,1,41.12388888888889,-111.97277777777778,3.0,66.46802520751953,41.15414810180664,54.57687759399414,60.948184967041016,35.23963165283203,48.26393127441406,44965.609375,38288.03515625,0.0,0.01747498258105624,0.011191819964548263,0.11010299623012543,19.888944625854492,40.50912094116211,284.87844609916243,21.323776245117188,4.658641815185547,74.84402465820312,29.7143611907959,878.267333984375,868.6953125,42.70744323730469,11.91964340209961,26.506023406982422
Homey Airport,2025-03-23,0,37.23333333333333,-115.80833333333334,3.0,66.44649505615234,41.439109802246094,55.581783294677734,60.022979736328125,35.8873291015625,47.5735969543457,44077.01171875,36105.74609375,0.0,0.012643256488153797,0.0,0.07885724306106567,20.234636306762695,39.98711013793945,285.6121197851629,20.827028274536133,4.290647506713867,62.89698791503906,20.845375061035156,872.08447265625,863.6935424804688,49.40925598144531,10.514664649963379,23.700237274169922
Homey Airport,2025-03-24,0,37.23333333333333,-115.80833333333334,3.0,66.06781005859375,41.4778938293457,54.97658157348633,59.56511306762695,35.35774230957031,46.904659271240234,44226.328125,39010.5390625,0.0,0.0,0.0,0.12693533301353455,21.259836196899414,40.994163513183594,284.01436052265683,21.538042068481445,4.6146697998046875,62.53480911254883,19.182886123657227,874.1253051757812,865.8287353515625,41.68854522705078,11.344955444335938,25.19069480895996
Homey Airport,2025-03-25,0,37.23333333333333,-115.80833333333334,3.0,67.69623565673828,41.50908660888672,56.24308776855469,60.39266586303711,36.16096115112305,47.95140075683594,44315.62890625,39532.0859375,0.0,0.0,0.0,0.12162896245718002,22.128381729125977,42.16923522949219,282.1910801149403,21.689250946044922,4.800848484039307,61.261478424072266,18.745553970336914,876.0144653320312,867.7449951171875,39.991416931152344,12.334609985351562,27.098194122314453
Homey Airport,2025-03-26,0,37.23333333333333,-115.80833333333334,3.0,67.94747161865234,41.98716354370117,56.5264778137207,60.703304290771484,36.19449996948242,47.68803024291992,44428.296875,39499.765625,0.0,0.0,0.0,0.11174765229225159,22.643735885620117,41.07414627075195,285.06843246483265,21.651939392089844,4.902342319488525,56.43170166015625,20.60306739807129,877.8646240234375,868.50537109375,41.976280212402344,12.789936065673828,27.958263397216797
Homey Airport,2025-03-27,0,37.23333333333333,-115.80833333333334,3.0,68.12265014648438,43.32375717163086,56.42740249633789,60.192604064941406,36.28779983520508,48.06763458251953,44565.87890625,39574.74609375,0.0,0.0,0.0,0.13112086057662964,22.68333625793457,42.430171966552734,283.896899889395,21.670900344848633,5.038646221160889,55.27334213256836,20.872615814208984,878.2391967773438,869.0961303710938,43.36224365234375,12.323925018310547,27.297483444213867
Homey Airport,2025-03-28,0,37.23333333333333,-115.80833333333334,3.0,69.00605010986328,42.970149993896484,57.075828552246094,61.12455368041992,36.606468200683594,48.09114456176758,44669.6640625,38282.44921875,0.0,0.0027489586194352276,0.0,0.09721363335847855,21.986722946166992,42.101905822753906,284.9609581526271,21.639673233032227,5.105641841888428,57.469478607177734,21.133771896362305,879.3222045898438,870.9700927734375,42.823280334472656,12.090452194213867,27.36919593811035
Homey Airport,2025-03-29,0,37.23333333333333,-115.80833333333334,3.0,69.59358215332031,43.90990447998047,58.54989242553711,61.46713638305664,37.03219223022461,48.379146575927734,44753.4296875,37995.5234375,0.0,0.022241657496304697,0.0,0.12819825112819672,21.970325469970703,41.141544342041016,284.1546196144865,21.500267028808594,5.19763708114624,59.13447570800781,20.876619338989258,881.4865112304688,872.2177734375,42.83224105834961,12.394159317016602,27.247573852539062
Holloman Air Force Base,2025-03-23,0,32.8525,-106.10638888888889,3.0,80.99732971191406,49.948265075683594,66.31661987304688,71.76698303222656,42.127235412597656,58.16172790527344,44067.234375,41370.0,0.005560495697888936,0.006650542269910764,0.0,0.11692453920841217,29.10797691345215,49.93403625488281,233.97247645727634,23.624950408935547,7.061385154724121,25.463909149169922,8.605904579162598,880.0680541992188,873.4702758789062,21.339954376220703,15.7505464553833,32.97989273071289
Holloman Air Force Base,2025-03-24,0,32.8525,-106.10638888888889,3.0,77.48832702636719,49.380985260009766,62.46620178222656,66.08194732666016,41.12385559082031,54.73405075073242,44216.21875,40804.51171875,0.0012875932156968294,0.009590931310621099,0.0,0.10422670096158981,26.908843994140625,54.8542594909668,251.75648013158622,23.435453414916992,6.841196537017822,32.70963668823242,9.531556129455566,880.4171142578125,873.9892578125,29.338829040527344,14.975587844848633,35.374717712402344
Holloman Air Force Base,2025-03-25,0,32.8525,-106.10638888888889,3.0,73.53995513916016,46.99070739746094,59.33447265625,61.98202133178711,38.32687759399414,49.917991638183594,44303.05859375,41047.75,0.0,0.008309123418493422,0.0,0.10682159662246704,25.913021087646484,45.71661376953125,254.88346294343413,23.556076049804688,6.615479946136475,30.049779891967773,10.72081184387207,880.4608764648438,874.2086181640625,25.499168395996094,14.37609577178955,32.34305953979492
Holloman Air Force Base,2025-03-26,0,32.8525,-106.10638888888889,3.0,74.28473663330078,45.42647171020508,58.54669189453125,65.0354232788086,37.71869659423828,50.9807014465332,44417.6640625,41042.265625,0.010536777758331423,0.013048483754766579,0.0,0.09824934601783752,27.48236083984375,47.90013885498047,256.6418646610935,23.39397430419922,6.222700119018555,31.59503173828125,11.25001335144043,880.1935424804688,873.4985961914062,30.39141273498535,15.185502052307129,32.64445877075195
Holloman Air Force Base,2025-03-27,0,32.8525,-106.10638888888889,3.0,74.80780029296875,46.1300163269043,58.82948684692383,64.22563934326172,38.5013542175293,52.183128356933594,44546.74609375,41069.453125,0.0036868310072017845,0.014777790867879002,0.0,0.0921901986002922,27.259868621826172,46.2572135925293,262.57622299515117,23.32917022705078,6.228054523468018,36.84964370727539,11.804335594177246,880.6229858398438,873.4971313476562,33.88599395751953,15.581086158752441,31.113832473754883
Holloman Air Force Base,2025-03-28,0,32.8525,-106.10638888888889,3.0,75.26880645751953,47.369110107421875,60.38325119018555,66.39786529541016,38.39130783081055,53.083248138427734,44655.9765625,40204.3515625,0.0,0.006699400246376134,0.0,0.11325506120920181,28.542919158935547,48.613304138183594,262.255406942544,23.13240623474121,6.3599467277526855,43.595279693603516,11.889481544494629,881.1596069335938,873.6292114257812,38.737342834472656,15.906826972961426,34.31852340698242
Holloman Air Force Base,2025-03-29,0,32.8525,-106.10638888888889,3.0,74.9098129272461,48.0439453125,60.70115280151367,64.63414001464844,40.4609260559082,53.64076614379883,44737.53515625,39493.74609375,0.007510465615372184,0.02481131390281794,0.0,0.11890839785337448,26.38473129272461,48.416194915771484,257.7773067955758,22.897180557250977,6.390470504760742,46.59418869018555,12.192131042480469,882.5113525390625,875.5598754882812,37.38896179199219,15.585546493530273,32.373085021972656
Hurlburt Field,2025-03-23,2,30.42777777777778,-86.68944444444445,3.0,76.18981170654297,51.27850341796875,63.296382904052734,75.28348541259766,47.27552032470703,60.578697204589844,44000.7890625,40905.109375,0.004663199953440567,0.010066114375092883,0.0,-0.05118710920214653,17.102054595947266,35.43917465209961,250.6793565950099,23.56230926513672,4.399221420288086,86.0920181274414,37.703712463378906,1020.806640625,1016.8463745117188,31.712018966674805,9.890618324279785,23.280521392822266
Hurlburt Field,2025-03-24,2,30.42777777777778,-86.68944444444445,3.0,76.77184295654297,53.267948150634766,65.79369354248047,74.9521484375,49.24342346191406,61.03294372558594,44104.859375,40771.7578125,0.025243513612335032,0.009594776960181463,0.0,-0.07357190549373627,19.83311653137207,39.387760162353516,254.66757843484706,23.136356353759766,4.641482830047607,83.1084213256836,37.65315628051758,1019.517578125,1014.9027099609375,43.232025146484375,12.60014533996582,26.747451782226562
Hurlburt Field,2025-03-25,2,30.42777777777778,-86.68944444444445,3.0,77.29325103759766,54.003910064697266,65.37561798095703,73.7445297241211,49.89419937133789,60.92416763305664,44216.21875,40477.98046875,0.0,0.02382284500254184,0.0,-0.04129520431160927,20.916481018066406,40.99530792236328,261.77908773157776,23.131864547729492,4.758195400238037,78.70356750488281,37.218772888183594,1019.0006103515625,1014.4644165039062,37.71653366088867,13.425823211669922,26.98571014404297
Hurlburt Field,2025-03-26,2,30.42777777777778,-86.68944444444445,3.0,76.8258285522461,55.00056076049805,65.22808837890625,74.25238800048828,50.95244216918945,62.537811279296875,44346.24609375,40403.98046875,0.010304166138522362,0.006764070653988754,0.0,0.007154668215662241,21.46415901184082,41.05251693725586,254.86963663452485,23.11629867553711,4.720553874969482,78.97765350341797,36.87717819213867,1019.9464721679688,1013.7479858398438,34.38162612915039,14.2395601272583,27.087026596069336
Hurlburt Field,2025-03-27,2,30.42777777777778,-86.68944444444445,3.0,76.9983139038086,54.64731216430664,65.78108215332031,74.62936401367188,50.31258773803711,62.04857635498047,44412.21875,40130.8984375,0.0,0.026321166850032038,0.0,0.015370948240160942,21.48853302001953,42.42097091674805,261.6994102326238,22.642839431762695,4.780666351318359,79.01451873779297,37.40505599975586,1019.0262451171875,1013.9515380859375,38.0234260559082,14.302166938781738,28.715248107910156
